0,10.474
0.02,7.3654
0.04,1.6949
0.06,-1.5656
0.08,-1.6949
0.1,-0.74384
0.12,-0.28571
0.14,-0.37712
0.16,-0.46633
0.18,-0.34067
0.2,-0.1722
0.22,-0.1216
0.24,-0.14845
0.26,-0.15572
0.28,-0.13547
0.3,-0.13116
0.32,-0.12965
0.34,-0.080982
0.36,0.0070215
0.38,0.077307
0.4,0.07981
0.42,0.028518
0.44,-0.036597
0.46,-0.11097
0.48,-0.19202
0.5,-0.24125
0.52,-0.2215
0.54,-0.12801
0.56,0.01351
0.58,0.13899
0.6,0.17664
0.62,0.1135
0.64,0.0095651
0.66,-0.077809
0.68,-0.13124
0.7,-0.13493
0.72,-0.068925
0.74,0.04743
0.76,0.1372
0.78,0.13961
0.8,0.076705
0.82,0.0063817
0.84,-0.057403
0.86,-0.11012
0.88,-0.12313
0.9,-0.082158
0.92,-0.0024384
0.94,0.098306
0.96,0.18085
0.98,0.21032
1,0.21894
1.02,0.22409
1.04,0.17456
1.06,0.038542
1.08,-0.11246
1.1,-0.16272
1.12,-0.097032
1.14,-0.013387
1.16,0.013645
1.18,0.017322
1.2,0.037649
1.22,0.03901
1.24,0.00035561
1.26,-0.054102
1.28,-0.071142
1.3,-0.036898
1.32,-0.016353
1.34,-0.043061
1.36,-0.044912
1.38,0.012295
1.4,0.04845
1.42,-0.0042126
1.44,-0.098059
1.46,-0.1467
1.48,-0.12628
1.5,-0.078864
1.52,-0.049241
1.54,-0.03711
1.56,-0.01122
1.58,0.042523
1.6,0.089879
1.62,0.095814
1.64,0.053128
1.66,0.0011727
1.68,-0.0094901
1.7,0.032065
1.72,0.082981
1.74,0.075914
1.76,-0.0082639
1.78,-0.10538
1.8,-0.1337
1.82,-0.093974
1.84,-0.053232
1.86,-0.047224
1.88,-0.045393
1.9,-0.030047
1.92,-0.013136
1.94,0.0079564
1.96,0.047637
1.98,0.11188
2,0.1591
2.02,0.13406
2.04,0.056753
2.06,-0.0023701
2.08,0.0040221
2.1,0.064484
2.12,0.13291
2.14,0.17289
2.16,0.17585
2.18,0.1486
2.2,0.094207
2.22,0.024586
2.24,-0.042111
2.26,-0.092918
2.28,-0.10707
2.3,-0.063174
2.32,0.018473
2.34,0.095437
2.36,0.13624
2.38,0.13296
2.4,0.088216
2.42,0.027691
2.44,-0.0046181
2.46,0.0036054
2.48,0.049676
2.5,0.10479
2.52,0.1144
2.54,0.065668
2.56,0.010103
2.58,-0.0076347
2.6,-0.0094746
2.62,-0.024193
2.64,-0.042425
2.66,-0.064599
2.68,-0.095704
2.7,-0.13215
2.72,-0.1578
2.74,-0.14444
2.76,-0.083208
2.78,-0.014918
2.8,0.00083573
2.82,-0.041531
2.84,-0.062044
2.86,0.017483
2.88,0.14485
2.9,0.17735
2.92,0.070977
2.94,-0.035501
2.96,-0.01568
2.98,0.07772
3,0.10991
3.02,0.041706
3.04,-0.051328
3.06,-0.090164
3.08,-0.071928
3.1,-0.059939
3.12,-0.09437
3.14,-0.14607
3.16,-0.1542
3.18,-0.082121
3.2,0.038309
3.22,0.1308
3.24,0.13748
3.26,0.063532
3.28,-0.038062
3.3,-0.11085
3.32,-0.13041
3.34,-0.12185
3.36,-0.1201
3.38,-0.11496
3.4,-0.10095
3.42,-0.11671
3.44,-0.16196
